Machine Name,Policy Target,Subcategory,Subcategory GUID,Inclusion Setting,Exclusion Setting,Setting Value
SERVER,System,Application Group Management,{0CCE9239-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Distribution Group Management,{0CCE9238-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Security Group Management,{0CCE9237-69AE-11D9-BED3-505054503030},Success,,1
SERVER,System,Computer Account Management,{0CCE9236-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,User Account Management,{0CCE9235-69AE-11D9-BED3-505054503030},Success,,1
SERVER,System,Directory Service Replication,{0CCE923D-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Directory Service Access,{0CCE923B-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Detailed Directory Service Replication,{0CCE923E-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Directory Service Changes,{0CCE923C-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Other Account Logon Events,{0CCE9241-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Kerberos Service Ticket Operations,{0CCE9240-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Credential Validation,{0CCE923F-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,System,Kerberos Authentication Service,{0CCE9242-69AE-11D9-BED3-505054503030},No Auditing,,0
SERVER,,Option:CrashOnAuditFail,,Disabled,,0
SERVER,,Option:FullPrivilegeAuditing,,Disabled,,0
SERVER,,Option:AuditBaseObjects,,Disabled,,0
SERVER,,Option:AuditBaseDirectories,,Disabled,,0
SERVER,,FileGlobalSacl,,,,
SERVER,,RegistryGlobalSacl,,,,
